Channel,Region,Fresh,Milk,Grocery,Frozen,Delicassen
2,3,12669,9656,7561,214,1338
2,3,7057,9810,9568,1762,1776
2,3,6353,8808,7684,2405,7844
1,3,13265,1196,4221,6404,1788
2,3,22615,5410,7198,3915,5185
2,3,9413,8259,5126,666,1451
2,3,12126,3199,6975,480,545
2,3,7579,4956,9426,1669,2566
1,3,5963,3648,6192,425,750
2,3,6006,11093,18881,1159,2098
2,3,3366,5403,12974,4400,1744
2,3,13146,1124,4523,1420,497
2,3,31714,12319,11757,287,2931
2,3,21217,6208,14982,3095,602
2,3,24653,9465,12091,294,2168
1,3,10253,1114,3821,397,412
2,3,1020,8816,12121,134,1080
1,3,5876,6157,2933,839,4478
2,3,18601,6327,10099,2205,3181
1,3,7780,2495,9464,669,501
2,3,17546,4519,4602,1066,2124
1,3,5567,871,2010,3383,569
1,3,31276,1917,4469,9408,4334
2,3,26373,36423,22019,5154,16523
2,3,22647,9776,13792,2915,5778
2,3,16165,4230,7595,201,57
1,3,9898,961,2861,3151,833
1,3,14276,803,3045,485,518
2,3,4113,20484,25957,1158,5206
1,3,43088,2100,2609,1200,823
1,3,18815,3610,11107,1148,2963
1,3,2612,4339,3133,2088,985
1,3,21632,1318,2886,266,405
1,3,29729,4786,7326,6130,1083
1,3,1502,1979,2262,425,395
2,3,688,5491,11091,833,436
1,3,29955,4362,5428,1729,4626
2,3,15168,10556,12477,1920,714
2,3,4591,15729,16709,33,433
1,3,56159,555,902,10002,2916
1,3,24025,4332,4757,9510,5864
1,3,19176,3065,5956,2033,2802
2,3,10850,7555,14961,188,46
2,3,630,11095,23998,787,72
2,3,9670,7027,10471,541,65
2,3,5181,22044,21531,1740,4985
2,3,3103,14069,21955,1668,1452
2,3,44466,54259,55571,7782,6465
2,3,11519,6152,10868,584,1476
2,3,4967,21412,28921,1798,1163
1,3,6269,1095,1980,3860,2162
1,3,3347,4051,6996,239,301
2,3,40721,3916,5876,532,1278
2,3,491,10473,11532,744,224
1,3,27329,1449,1947,2436,1333
1,3,5264,3683,5005,1057,1130
2,3,4098,29892,26866,2616,1340
2,3,5417,9933,10487,38,1282
1,3,13779,1970,1648,596,436
1,3,6137,5360,8040,129,1603
2,3,8590,3045,7854,96,225
2,3,35942,38369,59598,3254,2017
2,3,7823,6245,6544,4154,964
2,3,9396,11601,15775,2896,1295
1,3,4760,1227,3250,3724,1145
2,3,85,20959,45828,36,1423
1,3,9,1534,7417,175,27
2,3,19913,6759,13462,1256,834
1,3,2446,7260,3993,5870,3095
1,3,8352,2820,1293,779,144
1,3,16705,2037,3202,10643,1365
1,3,18291,1266,21042,5373,14472
1,3,4420,5139,2661,8872,181
2,3,19899,5332,8713,8132,648
2,3,8190,6343,9794,1285,1780
1,3,20398,1137,3,4407,975
1,3,717,3587,6532,7530,894
2,3,12205,12697,28540,869,1009
1,3,10766,1175,2067,2096,167
1,3,1640,3259,3655,868,1653
1,3,7005,829,3009,430,529
2,3,219,9540,14403,283,156
2,3,10362,9232,11009,737,2342
1,3,20874,1563,1783,2320,772
2,3,11867,3327,4814,1178,120
2,3,16117,46197,92780,1026,2944
2,3,22925,73498,32114,987,903
1,3,43265,5025,8117,6312,14351
1,3,7864,542,4042,9735,46
1,3,24904,3836,5330,3443,3178
1,3,11405,596,1638,3347,360
1,3,12754,2762,2530,8693,1117
2,3,9198,27472,32034,3232,5130
1,3,11314,3090,2062,35009,2698
2,3,5626,12220,11323,206,244
1,3,3,2920,6252,440,709
2,3,23,2616,8118,145,217
1,3,403,254,610,774,63
1,3,503,112,778,895,132
1,3,9658,2182,1909,5639,323
2,3,11594,7779,12144,3252,3029
2,3,1420,10810,16267,1593,1838
2,3,2932,6459,7677,2561,1386
1,3,56082,3504,8906,18028,2498
1,3,14100,2132,3445,1336,548
1,3,15587,1014,3970,910,1378
2,3,1454,6337,10704,133,1831
2,3,8797,10646,14886,2471,1438
2,3,1531,8397,6981,247,1236
2,3,1406,16729,28986,673,3
1,3,11818,1648,1694,2276,1647
2,3,12579,11114,17569,805,1519
1,3,19046,2770,2469,8853,2708
1,3,14438,2295,1733,3220,1561
1,3,18044,1080,2000,2555,1266
1,3,11134,793,2988,2715,610
1,3,11173,2521,3355,1517,222
1,3,6990,3880,5380,1647,1160
1,3,20049,1891,2362,5343,933
1,3,8258,2344,2147,3896,635
1,3,17160,1200,3412,2417,1136
1,3,4020,3234,1498,2395,255
1,3,12212,201,245,1991,860
2,3,11170,10769,8814,2194,143
1,3,36050,1642,2961,4787,1621
1,3,76237,3473,7102,16538,918
1,3,19219,1840,1658,8195,483
2,3,21465,7243,10685,880,2749
1,3,140,8847,3823,142,3
1,3,42312,926,1510,1718,1819
1,3,7149,2428,699,6316,911
1,3,2101,589,314,346,310
1,3,14903,2032,2479,576,328
1,3,9434,1042,1235,436,396
1,3,7388,1882,2174,720,537
1,3,6300,1289,2591,1170,326
1,3,4625,8579,7030,4575,1542
1,3,3087,8080,8282,661,36
1,3,13537,4257,5034,155,3271
1,3,5387,4979,3343,825,929
1,3,17623,4280,7305,2279,2616
1,3,30379,13252,5189,321,1450
1,3,37036,7152,8253,2995,3
1,3,10405,1596,1096,8425,318
1,3,18827,3677,1988,118,201
2,3,22039,8384,34792,42,4430
1,3,7769,1936,2177,926,520
1,3,9203,3373,2707,1286,526
1,3,5924,584,542,4052,434
1,3,31812,1433,1651,800,1440
1,3,16225,1825,1765,853,1067
1,3,1289,3328,2022,531,1774
1,3,18840,1371,3135,3001,184
1,3,3463,9250,2368,779,1627
1,3,622,55,137,75,8
2,3,1989,10690,19460,233,2153
2,3,3830,5291,14855,317,3182
1,3,17773,1366,2474,3378,418
2,3,2861,6570,9618,930,1682
2,3,355,7704,14682,398,303
2,3,1725,3651,12822,824,2157
1,3,12434,540,283,1092,2233
1,3,15177,2024,3810,2665,610
2,3,5531,15726,26870,2367,446
2,3,5224,7603,8584,2540,238
2,3,15615,12653,19858,4425,2379
2,3,4822,6721,9170,993,3637
1,3,2926,3195,3268,405,693
1,3,5809,735,803,1393,429
1,3,5414,717,2155,2399,750
2,3,260,8675,13430,1116,323
2,3,200,25862,19816,651,6250
1,3,955,5479,6536,333,707
2,3,514,7677,19805,937,716
1,3,286,1208,5241,2515,1442
2,3,2343,7845,11874,52,1697
1,3,45640,6958,6536,7368,230
1,3,12759,7330,4533,1752,2631
1,3,11002,7075,4945,1152,395
1,3,3157,4888,2500,4477,2165
1,3,12356,6036,8887,402,2794
1,3,112151,29627,18148,16745,8550
1,3,694,8533,10518,443,156
1,3,36847,43950,20170,36534,47943
1,3,327,918,4710,74,11
1,3,8170,6448,1139,2181,247
1,3,3009,521,854,3470,727
1,3,2438,8002,9819,6269,3
2,3,8040,7639,11687,2758,404
2,3,834,11577,11522,275,1856
1,3,16936,6250,1981,7332,64
1,3,13624,295,1381,890,84
1,3,5509,1461,2251,547,409
2,3,180,3485,20292,959,666
1,3,7107,1012,2974,806,1142
1,3,17023,5139,5230,7888,1755
1,1,30624,7209,4897,18711,2876
2,1,2427,7097,10391,1127,1468
1,1,11686,2154,6824,3527,697
1,1,9670,2280,2112,520,347
2,1,3067,13240,23127,3941,731
2,1,4484,14399,24708,3549,1681
1,1,25203,11487,9490,5065,6854
1,1,583,685,2216,469,18
1,1,1956,891,5226,1383,1328
2,1,1107,11711,23596,955,710
1,1,6373,780,950,878,285
