weight,firstName,middleName,lastName,currentTeamId,birthDate,height,wyId,foot,shortName,currentNationalTeamId,passportArea.name,passportArea.id,passportArea.alpha3code,passportArea.alpha2code,role.code2,role.code3,role.name,birthArea.name,birthArea.id,birthArea.alpha3code,birthArea.alpha2code
78,Harun,,Tekin,4502,17/6/1989,187,32777,right,H. Tekin,4687,Turkey,792,TUR,TR,GK,GKP,Goalkeeper,Turkey,792,TUR,TR
73,Malang,,Sarr,3775,23/1/1999,182,393228,left,M. Sarr,4423,Senegal,686,SEN,SN,DF,DEF,Defender,France,250,FRA,FR
72,Over,,Mandanda,3772,26/10/1998,176,393230,,O. Mandanda,null,France,250,FRA,FR,GK,GKP,Goalkeeper,France,250,FRA,FR
82,Alfred John Momar,,N'Diaye,683,6/3/1990,187,32793,right,A. N'Diaye,19314,Senegal,686,SEN,SN,MD,MID,Midfielder,France,250,FRA,FR
84,Ibrahima,,Konaté,2975,25/5/1999,192,393247,right,I. Konaté,null,France,250,FRA,FR,DF,DEF,Defender,France,250,FRA,FR
83,Jasper,,Cillessen,676,22/4/1989,185,33,right,J. Cillessen,664,Netherlands,528,NLD,NL,GK,GKP,Goalkeeper,Netherlands,528,NLD,NL
91,Toby,,Alderweireld,1624,2/3/1989,187,36,right,T. Alderweireld,5629,Belgium,56,BEL,BE,DF,DEF,Defender,Belgium,56,BEL,BE
88,Jan,,Vertonghen,1624,24/4/1987,189,48,left,J. Vertonghen,5629,Belgium,56,BEL,BE,DF,DEF,Defender,Belgium,56,BEL,BE
74,Alexander,,Djiku,3783,9/8/1994,182,229427,right,A. Djiku,null,France,250,FRA,FR,DF,DEF,Defender,France,250,FRA,FR
76,Christian ,,Dannemann Eriksen,1624,14/2/1992,180,54,right,C. Eriksen,7712,Denmark,208,DNK,DK,MD,MID,Midfielder,Denmark,208,DNK,DK
74,Marcel,,Sabitzer,2975,17/3/1994,177,65596,right,M. Sabitzer,null,Austria,40,AUT,AT,MD,MID,Midfielder,Austria,40,AUT,AT
84,Kolbeinn,,Sigþórsson,3770,14/3/1990,186,66,right,K. Sigþórsson,null,Iceland,352,ISL,IS,FW,FWD,Forward,Iceland,352,ISL,IS
74,Charles,,Traoré,3795,1/1/1992,180,393284,left,C. Traoré,null,France,250,FRA,FR,DF,DEF,Defender,Mali,466,MLI,ML
75,Niklas,,Moisander,2443,29/9/1985,183,77,left,N. Moisander,4849,Finland,246,FIN,FI,DF,DEF,Defender,Finland,246,FIN,FI
91,Charlison,,Benschop,2455,21/8/1989,191,91,right,C. Benschop,18138,Curaçao,531,CUW,CW,FW,FWD,Forward,Curaçao,531,CUW,CW
77,Johann ,,Berg Guðmunds­son,1646,27/10/1990,186,93,left,J. Guðmunds­son,7839,Iceland,352,ISL,IS,MD,MID,Midfielder,Iceland,352,ISL,IS
83,Przemysław,,Tytoń,677,4/1/1987,194,99,right,P. Tytoń,null,Poland,616,POL,PL,GK,GKP,Goalkeeper,Poland,616,POL,PL
85,Marcelo Antônio,,Guedes Filho,3766,20/5/1987,191,102,right,Marcelo,null,Brazil,76,BRA,BR,DF,DEF,Defender,Brazil,76,BRA,BR
65,Jetro,,Willems,2462,30/3/1994,169,110,left,J. Willems,null,Curaçao,531,CUW,CW,DF,DEF,Defender,Netherlands,528,NLD,NL
78,Ali Adnan Kadhim,,Al Tameemi,3163,19/12/1993,186,131184,left,Ali Adnan,17759,Iraq,368,IRQ,IQ,DF,DEF,Defender,Iraq,368,IRQ,IQ
78,Kevin,,Strootman,3158,13/2/1990,186,114,left,K. Strootman,null,Netherlands,528,NLD,NL,MD,MID,Midfielder,Netherlands,528,NLD,NL
78,Memphis,,Depay,3766,13/2/1994,176,118,right,M. Depay,664,Ghana,288,GHA,GH,FW,FWD,Forward,Netherlands,528,NLD,NL
61,Dries,,Mertens,3187,6/5/1987,169,122,right,D. Mertens,5629,Belgium,56,BEL,BE,FW,FWD,Forward,Belgium,56,BEL,BE
78,Ola,,Toivonen,3780,3/7/1986,192,123,right,O. Toivonen,7047,Sweden,752,SWE,SE,FW,FWD,Forward,Sweden,752,SWE,SE
